"Year Level","Qualification","Academic Year","Typical Level Flag","Cumulative Year Attainment Rate - Excellence Endorsement","Current Year Attainment Rate - Excellence Endorsement","Cumulative Year Attainment Rate - Merit Endorsement","Current Year Attainment Rate - Merit Endorsement","Cumulative Year Attainment Rate - No Endorsement","Current Year Attainment Rate - No Endorsement","Cumulative Year Attainment - Excellence Endorsement","Current Year Attainment - Excellence Endorsement","Cumulative Year Attainment - Merit Endorsement","Current Year Attainment - Merit Endorsement","Cumulative Year Attainment - No Endorsement","Current Year Attainment - No Endorsement","Cumulative Year Attainment","Current Year Attainment","Total Student Count","Cohort Warning"
"11","NCEA Level 1","2015","1","0.188","0.188","0.328","0.329","0.485","0.483","8493","8416","14810","14745","21910","21674","45213","44835","60725",""
"11","NCEA Level 1","2016","1","0.197","0.198","0.328","0.33","0.475","0.473","9044","8995","15059","14993","21768","21511","45871","45499","60942",""
"11","NCEA Level 1","2017","1","0.2","0.199","0.33","0.331","0.471","0.469","8875","8798","14666","14615","20936","20689","44477","44102","59297",""
"11","NCEA Level 1","2018","1","0.205","0.205","0.343","0.344","0.452","0.45","8830","8748","14737","14670","19405","19179","42972","42597","59392",""
"11","NCEA Level 1","2019","1","0.199","0.199","0.339","0.341","0.462","0.46","8575","8505","14604","14545","19886","19656","43065","42706","60982",""
"11","NCEA Level 1","2020","1","0.207","0.207","0.323","0.324","0.469","0.469","9079","8996","14180","14116","20576","20400","43835","43512","61046",""
"11","NCEA Level 1","2021","1","0.211","0.211","0.319","0.321","0.47","0.468","9089","9009","13724","13664","20258","19950","43071","42623","62261",""
"11","NCEA Level 1","2022","1","0.194","0.194","0.314","0.317","0.492","0.489","8215","8117","13306","13233","20816","20403","42337","41753","65219",""
"11","NCEA Level 1","2023","1","0.167","0.167","0.314","0.316","0.519","0.516","7064","6993","13298","13230","22009","21596","42371","41819","68720",""
"11","NCEA Level 1","2024","1","0.112","0.111","0.282","0.284","0.606","0.605","3596","3516","9085","8971","19537","19098","32218","31585","70141",""
"11","NCEA Level 2","2015","0","0.164","0.17","0.086","0.088","0.751","0.741","151","150","79","78","692","654","922","882","60725",""
"11","NCEA Level 2","2016","0","0.172","0.18","0.081","0.083","0.747","0.737","168","166","79","76","729","678","976","920","60942",""
"11","NCEA Level 2","2017","0","0.178","0.181","0.109","0.107","0.713","0.713","186","183","114","108","746","722","1046","1013","59297",""
"11","NCEA Level 2","2018","0","0.214","0.22","0.245","0.249","0.542","0.531","164","163","188","184","416","393","768","740","59392",""
"11","NCEA Level 2","2019","0","0.208","0.212","0.263","0.275","0.529","0.513","171","163","217","212","436","395","824","770","60982",""
"11","NCEA Level 2","2020","0","0.143","0.142","0.233","0.231","0.624","0.627","168","161","274","262","733","710","1175","1133","61046",""
"11","NCEA Level 2","2021","0","0.167","0.17","0.212","0.217","0.621","0.613","194","187","246","239","721","674","1161","1100","62261",""
"11","NCEA Level 2","2022","0","0.187","0.195","0.191","0.203","0.622","0.602","219","214","224","222","730","660","1173","1096","65219",""
"11","NCEA Level 2","2023","0","0.189","0.196","0.194","0.198","0.616","0.605","201","201","206","203","654","620","1061","1024","68720",""
"11","NCEA Level 2","2024","0","0.219","0.222","0.216","0.222","0.565","0.555","207","193","204","193","534","482","945","868","70141",""
"11","NCEA Level 3","2015","0","0.077","0.111","0.077","0.074","0.846","0.815","3","3","3","2","33","22","39","27","60725",""
"11","NCEA Level 3","2016","0","0.154","0.186","0.096","0.093","0.75","0.721","8","8","5","4","39","31","52","43","60942",""
"11","NCEA Level 3","2017","0","0.295","0.303","0.141","0.145","0.564","0.553","23","23","11","11","44","42","78","76","59297",""
"11","NCEA Level 3","2018","0","0.206","0.232","0.111","0.125","0.683","0.643","13","13","7","7","43","36","63","56","59392",""
"11","NCEA Level 3","2019","0","0.301","0.338","0.265","0.324","0.434","0.338","25","23","22","22","36","23","83","68","60982",""
"11","NCEA Level 3","2020","0","0.135","0.106","0.104","0.094","0.76","0.8","13","9","10","8","73","68","96","85","61046",""
"11","NCEA Level 3","2021","0","0.137","0.141","0.105","0.115","0.758","0.744","13","11","10","9","72","58","95","78","62261",""
"11","NCEA Level 3","2022","0","0.338","0.393","0.095","0.115","0.568","0.492","25","24","7","7","42","30","74","61","65219",""
"11","NCEA Level 3","2023","0","0.483","0.443","0.149","0.165","0.368","0.392","42","35","13","13","32","31","87","79","68720",""
"11","NCEA Level 3","2024","0","0.41","0.426","0.244","0.271","0.346","0.302","64","55","38","35","54","39","156","129","70141",""
"11","University Entrance","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","10","8","60725",""
"11","University Entrance","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","7","6","60942",""
"11","University Entrance","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","59297",""
"11","University Entrance","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","59392",""
"11","University Entrance","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","18","18","60982",""
"11","University Entrance","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","16","14","61046",""
"11","University Entrance","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","14","9","62261",""
"11","University Entrance","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","14","13","65219",""
"11","University Entrance","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","9","8","68720",""
"11","University Entrance","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","70141",""
"12","NCEA Level 1","2015","0","0.161","0.018","0.305","0.087","0.534","0.895","7801","111","14797","531","25867","5448","48465","6090","55150",""
"12","NCEA Level 1","2016","0","0.17","0.021","0.304","0.099","0.526","0.88","8593","124","15370","586","26638","5206","50601","5916","56994",""
"12","NCEA Level 1","2017","0","0.178","0.004","0.304","0.07","0.517","0.925","9040","24","15453","392","26261","5164","50754","5580","57045",""
"12","NCEA Level 1","2018","0","0.183","0.029","0.309","0.109","0.508","0.861","9009","161","15200","597","24967","4711","49176","5469","55278",""
"12","NCEA Level 1","2019","0","0.188","0.035","0.313","0.143","0.498","0.822","9139","222","15213","900","24200","5169","48552","6291","55101",""
"12","NCEA Level 1","2020","0","0.192","0.011","0.409","0.135","0.399","0.854","9548","76","20308","946","19823","5975","49679","6997","56292",""
"12","NCEA Level 1","2021","0","0.182","0.011","0.27","0.106","0.548","0.882","9114","78","13525","734","27403","6098","50042","6910","56986",""
"12","NCEA Level 1","2022","0","0.185","0.013","0.28","0.122","0.535","0.865","9124","92","13770","842","26356","5979","49250","6913","57471",""
"12","NCEA Level 1","2023","0","0.179","0.097","0.284","0.207","0.536","0.696","9063","874","14395","1857","27147","6253","50605","8984","60074",""
"12","NCEA Level 1","2024","0","0.156","0.104","0.286","0.215","0.558","0.681","8156","1115","14993","2295","29190","7264","52339","10674","63435",""
"12","NCEA Level 2","2015","1","0.151","0.151","0.242","0.245","0.608","0.604","6332","6202","10169","10059","25564","24835","42065","41096","55150",""
"12","NCEA Level 2","2016","1","0.16","0.161","0.237","0.242","0.602","0.597","7171","7018","10618","10531","26922","25979","44711","43528","56994",""
"12","NCEA Level 2","2017","1","0.164","0.164","0.235","0.239","0.601","0.597","7320","7149","10532","10418","26915","26015","44767","43582","57045",""
"12","NCEA Level 2","2018","1","0.165","0.166","0.252","0.256","0.582","0.578","7096","6902","10819","10677","24976","24089","42891","41668","55278",""
"12","NCEA Level 2","2019","1","0.167","0.166","0.251","0.255","0.582","0.579","7134","6920","10715","10618","24828","24119","42677","41657","55101",""
"12","NCEA Level 2","2020","1","0.179","0.176","0.249","0.251","0.571","0.572","8092","7756","11251","11060","25757","25185","45100","44001","56292",""
"12","NCEA Level 2","2021","1","0.179","0.181","0.238","0.244","0.582","0.575","7956","7780","10584","10465","25846","24695","44386","42940","56986",""
"12","NCEA Level 2","2022","1","0.165","0.166","0.24","0.246","0.595","0.588","7087","6890","10336","10184","25630","24403","43053","41477","57471",""
"12","NCEA Level 2","2023","1","0.15","0.15","0.235","0.241","0.616","0.609","6593","6361","10321","10207","27087","25850","44001","42418","60074",""
"12","NCEA Level 2","2024","1","0.155","0.155","0.245","0.25","0.6","0.595","7221","7009","11454","11335","27988","26935","46663","45279","63435",""
"12","NCEA Level 3","2015","0","0.143","0.148","0.087","0.086","0.77","0.766","74","72","45","42","398","374","517","488","55150",""
"12","NCEA Level 3","2016","0","0.204","0.21","0.089","0.092","0.707","0.699","116","112","51","49","403","373","570","534","56994",""
"12","NCEA Level 3","2017","0","0.21","0.213","0.094","0.092","0.695","0.695","118","111","53","48","390","362","561","521","57045",""
"12","NCEA Level 3","2018","0","0.219","0.209","0.265","0.278","0.516","0.513","120","99","145","132","283","243","548","474","55278",""
"12","NCEA Level 3","2019","0","0.24","0.242","0.231","0.242","0.53","0.516","134","119","129","119","296","254","559","492","55101",""
"12","NCEA Level 3","2020","0","0.221","0.216","0.209","0.206","0.57","0.578","181","161","171","154","466","431","818","746","56292",""
"12","NCEA Level 3","2021","0","0.207","0.217","0.156","0.17","0.637","0.614","188","175","142","137","579","496","909","808","56986",""
"12","NCEA Level 3","2022","0","0.165","0.171","0.171","0.183","0.665","0.646","162","152","168","162","654","573","984","887","57471",""
"12","NCEA Level 3","2023","0","0.185","0.173","0.162","0.169","0.653","0.658","173","147","152","144","612","561","937","852","60074",""
"12","NCEA Level 3","2024","0","0.218","0.197","0.17","0.182","0.612","0.622","201","160","157","148","564","506","922","814","63435",""
"12","University Entrance","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","300","290","55150",""
"12","University Entrance","2016","0","0","0","0","0","0","0","0","0","0","0","0","0","366","355","56994",""
"12","University Entrance","2017","0","0","0","0","0","0","0","0","0","0","0","0","0","271","263","57045",""
"12","University Entrance","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","272","262","55278",""
"12","University Entrance","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","281","275","55101",""
"12","University Entrance","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","330","323","56292",""
"12","University Entrance","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","353","342","56986",""
"12","University Entrance","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","350","341","57471",""
"12","University Entrance","2023","0","0","0","0","0","0","0","0","0","0","0","0","0","313","297","60074",""
"12","University Entrance","2024","0","0","0","0","0","0","0","0","0","0","0","0","0","296","286","63435",""
"13","NCEA Level 1","2015","0","0.167","0.034","0.322","0.115","0.511","0.851","7426","41","14367","137","22768","1015","44561","1193","48885",""
"13","NCEA Level 1","2016","0","0.177","0.026","0.33","0.153","0.493","0.821","7813","30","14616","175","21800","942","44229","1147","48306",""
"13","NCEA Level 1","2017","0","0.188","0.006","0.329","0.057","0.484","0.937","8486","6","14873","58","21868","946","45227","1010","49052",""
"13","NCEA Level 1","2018","0","0.202","0.035","0.332","0.135","0.466","0.83","8902","34","14653","133","20553","817","44108","984","47747",""
"13","NCEA Level 1","2019","0","0.207","0.038","0.346","0.176","0.447","0.787","8855","37","14822","173","19112","775","42789","985","46304",""
"13","NCEA Level 1","2020","0","0.211","0.012","0.372","0.069","0.417","0.919","9065","14","15987","84","17919","1111","42971","1209","46598",""
"13","NCEA Level 1","2021","0","0.192","0.005","0.32","0.055","0.487","0.94","8502","5","14163","52","21539","891","44204","948","48158",""
"13","NCEA Level 1","2022","0","0.208","0.01","0.296","0.096","0.495","0.894","8898","8","12653","81","21160","752","42711","841","46803",""
"13","NCEA Level 1","2023","0","0.213","0.061","0.306","0.152","0.482","0.787","8920","75","12814","187","20210","970","41944","1232","46450",""
"13","NCEA Level 1","2024","0","0.198","0.046","0.303","0.202","0.5","0.751","8842","80","13525","349","22332","1296","44699","1725","50225",""
"13","NCEA Level 2","2015","0","0.143","0.016","0.247","0.067","0.611","0.918","6076","59","10530","246","26029","3394","42635","3699","48885",""
"13","NCEA Level 2","2016","0","0.151","0.018","0.247","0.078","0.603","0.904","6374","62","10445","271","25533","3147","42352","3480","48306",""
"13","NCEA Level 2","2017","0","0.164","0.006","0.245","0.06","0.591","0.934","7131","17","10686","185","25777","2872","43594","3074","49052",""
"13","NCEA Level 2","2018","0","0.171","0.018","0.248","0.086","0.581","0.896","7274","54","10542","251","24674","2622","42490","2927","47747",""
"13","NCEA Level 2","2019","0","0.175","0.02","0.253","0.097","0.572","0.883","7212","60","10461","296","23595","2682","41268","3038","46304",""
"13","NCEA Level 2","2020","0","0.202","0.01","0.36","0.092","0.438","0.898","8385","33","14966","304","18232","2963","41583","3300","46598",""
"13","NCEA Level 2","2021","0","0.184","0.014","0.218","0.069","0.598","0.917","7887","33","9323","167","25583","2224","42793","2424","48158",""
"13","NCEA Level 2","2022","0","0.192","0.01","0.229","0.061","0.58","0.929","7862","22","9401","140","23791","2130","41054","2292","46803",""
"13","NCEA Level 2","2023","0","0.174","0.027","0.232","0.092","0.594","0.881","7038","76","9349","258","23953","2480","40340","2814","46450",""
"13","NCEA Level 2","2024","0","0.154","0.026","0.226","0.12","0.62","0.855","6620","103","9720","482","26689","3442","43029","4027","50225",""
"13","NCEA Level 3","2015","1","0.138","0.14","0.277","0.285","0.585","0.576","4211","4123","8487","8411","17898","16999","30596","29533","48885",""
"13","NCEA Level 3","2016","1","0.145","0.148","0.272","0.278","0.583","0.574","4495","4400","8418","8278","18078","17093","30991","29771","48306",""
"13","NCEA Level 3","2017","1","0.155","0.156","0.267","0.273","0.579","0.571","4965","4852","8570","8470","18596","17760","32131","31082","49052",""
"13","NCEA Level 3","2018","1","0.15","0.15","0.27","0.275","0.579","0.575","4740","4622","8530","8453","18275","17686","31545","30761","47747",""
"13","NCEA Level 3","2019","1","0.148","0.147","0.262","0.266","0.59","0.587","4613","4458","8161","8059","18391","17798","31165","30315","46304",""
"13","NCEA Level 3","2020","1","0.175","0.173","0.263","0.265","0.562","0.562","5891","5652","8831","8688","18875","18397","33597","32737","46598",""
"13","NCEA Level 3","2021","1","0.179","0.179","0.253","0.257","0.568","0.564","6070","5890","8587","8454","19304","18520","33961","32864","48158",""
"13","NCEA Level 3","2022","1","0.153","0.153","0.255","0.261","0.592","0.586","4894","4718","8140","8038","18876","18090","31910","30846","46803",""
"13","NCEA Level 3","2023","1","0.136","0.136","0.256","0.262","0.609","0.602","4262","4121","8045","7949","19139","18243","31446","30313","46450",""
"13","NCEA Level 3","2024","1","0.141","0.141","0.257","0.262","0.602","0.598","4924","4743","8944","8826","20994","20144","34862","33713","50225",""
"13","University Entrance","2015","1","0","0","0","0","0","0","0","0","0","0","0","0","23510","22988","48885",""
"13","University Entrance","2016","1","0","0","0","0","0","0","0","0","0","0","0","0","23560","22821","48306",""
"13","University Entrance","2017","1","0","0","0","0","0","0","0","0","0","0","0","0","23992","23301","49052",""
"13","University Entrance","2018","1","0","0","0","0","0","0","0","0","0","0","0","0","23341","22929","47747",""
"13","University Entrance","2019","1","0","0","0","0","0","0","0","0","0","0","0","0","22832","22387","46304",""
"13","University Entrance","2020","1","0","0","0","0","0","0","0","0","0","0","0","0","24901","24466","46598",""
"13","University Entrance","2021","1","0","0","0","0","0","0","0","0","0","0","0","0","24982","24434","48158",""
"13","University Entrance","2022","1","0","0","0","0","0","0","0","0","0","0","0","0","23554","23062","46803",""
"13","University Entrance","2023","1","0","0","0","0","0","0","0","0","0","0","0","0","23084","22662","46450",""
"13","University Entrance","2024","1","0","0","0","0","0","0","0","0","0","0","0","0","25391","24868","50225",""
